key,value,date
ARI,33.00,17/01/2014
ARI,33.00,18/01/2014
ARI,33.00,19/01/2014
ARI,33.00,20/01/2014
ARI,39.00,21/01/2014
ARI,42.00,22/01/2014
ARI,43.00,23/01/2014
ARI,43.00,24/01/2014
ARI,41.00,25/01/2014
ARI,41.00,26/01/2014
ARI,41.00,27/01/2014
ARI,42.00,28/01/2014
ARI,40.00,29/01/2014
ARI,41.00,30/01/2014
ARI,41.00,31/01/2014
ARI,40.00,01/02/2014
ARI,40.00,02/02/2014
ARI,40.00,03/02/2014
ARI,40.00,04/02/2014
ARI,40.00,05/02/2014
ARI,41.00,06/02/2014
ARI,41.00,07/02/2014
ARI,41.00,08/02/2014
ARI,41.00,09/02/2014
ARI,41.00,10/02/2014
ARI,43.00,11/02/2014
ARI,43.00,12/02/2014
ARI,46.00,13/02/2014
ARI,47.00,14/02/2014
ARI,47.00,15/02/2014
ARI,47.00,16/02/2014
ARI,47.00,17/02/2014
ARI,47.00,18/02/2014
ARI,47.00,19/02/2014
ARI,47.00,20/02/2014
ARI,48.00,21/02/2014
ARI,48.00,22/02/2014
ARI,48.00,23/02/2014
ARI,48.00,24/02/2014
ARI,50.00,25/02/2014
ARI,61.00,26/02/2014
ARI,74.00,27/02/2014
ARI,102.00,28/02/2014
ARI,103.00,01/03/2014
ARI,103.00,02/03/2014
ARI,103.00,03/03/2014
ARI,103.00,04/03/2014
ARI,103.00,05/03/2014
ARI,77.00,06/03/2014
ARI,68.00,07/03/2014
ARI,76.00,08/03/2014
ARI,76.00,09/03/2014
ARI,76.00,10/03/2014
ARI,89.00,11/03/2014
ARI,103.00,12/03/2014
ARI,101.00,13/03/2014
ARI,96.00,14/03/2014
ARI,107.00,15/03/2014
ARI,107.00,16/03/2014
ARI,107.00,17/03/2014
ARI,117.00,18/03/2014
ARI,94.00,19/03/2014
ARI,100.00,20/03/2014
ARI,96.00,21/03/2014
ARI,106.00,22/03/2014
ARI,106.00,23/03/2014
ARI,106.00,24/03/2014
ARI,106.00,25/03/2014
ARI,83.00,26/03/2014
ARI,90.00,27/03/2014
ARI,102.00,28/03/2014
ARI,110.00,29/03/2014
ARI,110.00,30/03/2014
ARI,110.00,31/03/2014
ARI,128.00,01/04/2014
ARI,113.00,02/04/2014
ARI,113.00,03/04/2014
ARI,120.00,04/04/2014
ARI,126.00,05/04/2014
ARI,126.00,06/04/2014
ARI,126.00,07/04/2014
ARI,134.00,08/04/2014
ARI,112.00,09/04/2014
ARI,106.00,10/04/2014
ARI,106.00,11/04/2014
ARI,113.00,12/04/2014
ARI,113.00,13/04/2014
ARI,113.00,14/04/2014
ARI,97.00,15/04/2014
ARI,102.00,16/04/2014
ARI,100.00,17/04/2014
ARI,100.00,18/04/2014
ARI,100.00,19/04/2014
ARI,100.00,20/04/2014
ARI,100.00,21/04/2014
ARI,121.00,22/04/2014
ARI,135.00,23/04/2014
ARI,144.00,24/04/2014
ARI,160.00,25/04/2014
ARI,161.00,26/04/2014
ARI,161.00,27/04/2014
ARI,161.00,28/04/2014
ARI,151.00,29/04/2014
